customer_id,customer_name,city,email
1,Customer_1,Chennai,customer1@example.com
2,Customer_2,Chennai,customer2@example.com
3,Customer_3,Mumbai,customer3@example.com
4,Customer_4,Bangalore,customer4@example.com
5,Customer_5,Bangalore,customer5@example.com
6,Customer_6,Bangalore,customer6@example.com
7,Customer_7,Chennai,customer7@example.com
8,Customer_8,Chennai,customer8@example.com
9,Customer_9,Delhi,customer9@example.com
10,Customer_10,Chennai,customer10@example.com
11,Customer_11,Chennai,customer11@example.com
12,Customer_12,Chennai,customer12@example.com
13,Customer_13,Bangalore,customer13@example.com
14,Customer_14,Bangalore,customer14@example.com
15,Customer_15,Chennai,customer15@example.com
16,Customer_16,Bangalore,customer16@example.com
17,Customer_17,Delhi,customer17@example.com
18,Customer_18,Bangalore,customer18@example.com
19,Customer_19,Delhi,customer19@example.com
20,Customer_20,Mumbai,customer20@example.com
